Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
87.858	1.55087	88.538	2.19552	88.178	1.86556	3.2028	87.518	1.6769	3.0144
88.658	1.67648	88.778	1.86291	88.698	1.74642	0.5652	88.578	2.06048	0.5652
89.338	1.62885	89.578	2.02865	89.438	1.84156	1.1304	89.038	1.63914	2.6376
89.698	1.58331	90.098	2.09418	89.878	1.82221	1.884	89.618	1.91554	0.5652
90.298	1.46527	90.538	1.80099	90.398	1.62431	1.1304	90.178	1.9028	0.942
91.098	1.68616	91.378	1.81634	91.218	1.76687	1.3188	90.798	1.60571	2.6376
91.538	1.47961	92.098	1.95499	91.798	1.75806	2.6376	91.438	1.69474	0.7536
92.498	1.64322	92.778	2.00571	92.618	1.82337	1.3188	92.278	1.6401	1.884
93.738	1.5441	94.418	2.25281	94.058	1.86851	3.2028	93.238	1.65035	4.5216
94.698	1.59079	95.058	1.9997	94.858	1.77767	1.6956	94.538	2.11695	1.3188
95.218	1.3873	96.138	1.96622	95.658	1.76218	4.3332	95.118	1.81552	0.7536
96.458	1.65982	97.178	1.92993	96.798	1.88882	3.3912	96.278	1.69376	1.5072
97.338	1.46857	97.698	1.93775	97.498	1.71882	1.6956	97.238	1.70305	0.7536
98.538	1.42172	98.938	1.92978	98.718	1.69264	1.884	98.098	1.68991	3.9564
99.098	1.30905	99.818	1.83408	99.438	1.67965	3.3912	98.998	1.66905	0.7536
100.098	1.52316	100.818	2.17996	100.438	1.86631	3.3912	99.938	1.56359	1.3188
101.018	1.37418	101.418	1.8421	101.198	1.6411	1.884	100.898	1.85341	0.942
101.578	1.48602	102.218	1.99201	101.878	1.74873	3.0144	101.478	1.73303	0.7536
102.978	1.46872	103.498	2.01425	103.218	1.81033	2.4492	102.578	1.63103	3.5796
103.658	1.44086	104.098	1.90851	103.858	1.70382	2.0724	103.558	1.82346	0.7536
104.338	1.56152	104.458	1.80179	104.378	1.64032	0.5652	104.198	1.69862	1.1304
105.178	1.48474	106.178	1.97409	105.658	1.80341	4.71	104.798	1.6546	3.3912
106.538	1.49591	106.938	1.93649	106.718	1.70931	1.884	106.338	1.57434	1.6956
108.098	1.51489	108.458	1.87164	108.258	1.72106	1.6956	107.498	1.6484	5.4636
108.698	1.48346	109.018	1.85565	108.838	1.68574	1.5072	108.558	1.74349	1.1304
109.178	1.3183	109.778	1.89349	109.458	1.66406	2.826	109.078	1.55547	0.7536
111.258	1.66888	111.458	1.82346	111.338	1.73352	0.942	110.498	1.60917	6.9708
111.698	1.63208	111.978	1.96146	111.818	1.82844	1.3188	111.558	1.73813	1.1304
112.258	1.57889	112.418	1.84152	112.318	1.67773	0.7536	112.098	1.85018	1.3188
112.578	1.31329	114.018	1.82474	113.278	1.79403	6.7824	112.478	1.55122	0.7536
114.378	1.59155	115.098	2.02225	114.718	1.77617	3.3912	114.178	1.55213	1.6956
115.218	1.68527	115.298	1.85858	115.238	1.76674	0.3768	115.138	1.98757	0.5652
115.418	1.61722	115.738	1.87647	115.558	1.71792	1.5072	115.338	1.73842	0.5652
116.218	1.66568	116.698	2.00302	116.438	1.84759	2.2608	115.958	1.61305	2.2608
116.898	1.42303	117.338	1.91205	117.098	1.64623	2.0724	116.778	1.8181	0.942
117.778	1.40982	118.778	2.23047	118.258	1.79689	4.71	117.538	1.63751	2.0724
119.418	1.42013	120.618	2.06866	119.998	1.84161	5.652	119.078	1.63703	3.0144
